diversity,seed,target_phase,transition,previous_end_success,start_success,end_success,transfer_gap,specialization_gain,previous_end_depth6,start_depth6,end_depth6,transfer_gap_depth6,specialization_gain_depth6
256,1,4,d3->d4,0.3828125,0.3759765625,0.380859375,0.0068359375,0.0048828125,0.0,0.0,0.0,0.0,0.0
256,2,2,d1->d2,0.3515625,0.3935546875,0.3896484375,-0.0419921875,-0.00390625,0.0,0.0,0.006060606060606061,0.0,0.006060606060606061
256,2,3,d2->d3,0.3896484375,0.375,0.373046875,0.0146484375,-0.001953125,0.006060606060606061,0.0,0.0,0.006060606060606061,0.0
256,2,4,d3->d4,0.373046875,0.373046875,0.384765625,0.0,0.01171875,0.0,0.0,0.0,0.0,0.0
256,3,2,d1->d2,0.3515625,0.365234375,0.4091796875,-0.013671875,0.0439453125,0.0,0.012195121951219513,0.0,-0.012195121951219513,-0.012195121951219513
256,3,3,d2->d3,0.4091796875,0.3896484375,0.3828125,0.01953125,-0.0068359375,0.0,0.0,0.0,0.0,0.0
256,3,4,d3->d4,0.3828125,0.4091796875,0.3583984375,-0.0263671875,-0.05078125,0.0,0.0,0.0,0.0,0.0
256,4,2,d1->d2,0.3955078125,0.3916015625,0.353515625,0.00390625,-0.0380859375,0.0,0.006756756756756757,0.005780346820809248,-0.006756756756756757,-0.0009764099359475089
256,4,3,d2->d3,0.353515625,0.3935546875,0.3779296875,-0.0400390625,-0.015625,0.005780346820809248,0.0,0.0,0.005780346820809248,0.0
256,4,4,d3->d4,0.3779296875,0.3779296875,0.3837890625,0.0,0.005859375,0.0,0.0,0.0,0.0,0.0
